iteration,prior mass,evidence
564,0.003552868406221362,3.898536995107864e-160
565,0.0035175167749121284,4.372681999641577e-160
566,0.003482516898211663,4.8650172209971774e-160
567,0.0034478652761031265,5.4887665977116506e-160
568,0.0034135584433954303,6.111866588883921e-160
569,0.0033795929693767124,6.86554113943546e-160
570,0.003345965457471272,7.630906229316978e-160
571,0.0033126725448998926,8.652196229937452e-160
572,0.003279710902343573,9.672556279380439e-160
573,0.0032470772336105863,1.0697624957266219e-159
574,0.00321476827530687,1.1779006191401901e-159
575,0.003182780796509667,1.3007496573728855e-159
576,0.0031511115984444414,1.481909612463718e-159
577,0.0031197575141649948,1.678306080627076e-159
578,0.0030887154082367687,1.8970576785350473e-159
579,0.0030579821764233073,2.1288414798079673e-159
580,0.0030275547453758153,2.366397360176527e-159
581,0.0029974300723258312,2.6080174376117627e-159
582,0.002967605144780944,2.8505551641097435e-159
583,0.0029380769802235503,3.1131358152289453e-159
584,0.002908842625812584,3.4049654061214246e-159
585,0.002879899158088243,3.721833998113872e-159
586,0.0028512436826796323,4.052950037548471e-159
587,0.0028228733340153363,4.4162783573395136e-159
588,0.0027947852750368437,4.815986482728016e-159
589,0.002766976696914851,5.22043937528048e-159
590,0.0027394448187683684,5.625712121703609e-159
591,0.0027121868873866434,6.036439504252496e-159
592,0.0026852001769538205,6.449861403958105e-159
593,0.002658481988776367,6.949720074191686e-159
594,0.0026320296510131984,7.454272187478429e-159
595,0.0026058405184084983,7.975339512984177e-159
596,0.00257991197202718,8.513987779121138e-159
597,0.0025542414189929983,9.09446478681184e-159
598,0.0025288262922292556,9.788230602372934e-159
599,0.0025036640502021,1.0551464846256822e-158
600,0.0024787521766663585,1.1361181775544901e-158
601,0.002454088180413917,1.2266556646673004e-158
602,0.0024296695950245975,1.3170387005986216e-158
603,0.0024054939786195095,1.408767664350331e-158
604,0.0023815589136168707,1.5050790832435961e-158
605,0.002357862006490233,1.6189208341159064e-158
606,0.002334400887529135,1.7412587047037295e-158
607,0.002311173210602129,1.868014389377178e-158
608,0.0022881766529221693,2.012967345146788e-158
609,0.002265408914814322,2.165298502371216e-158
610,0.0022428677194858034,2.32488204954815e-158
611,0.002220550812798294,2.5656484659325587e-158
612,0.0021984559630425313,2.815160025916697e-158
613,0.0021765809607151255,3.0906190539817914e-158
614,0.002154923618297615,3.3768438740107293e-158
615,0.002133481770037708,3.709150980537489e-158
616,0.002112253271732714,4.0923291310690485e-158
617,0.0020912360005151103,4.553670582575543e-158
618,0.0020704278546402606,5.118591767649814e-158
